LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", CYSEC, british-pound-south-african-rand-rate
"", CYSEC, cad-pln-rate
"", CYSEC, new-zealand-dollar-chinese-yuan-rate
"", CYSEC, canadian-dollar-rand-rate
"", CYSEC, euro-danish-krone-rate
"", CYSEC, aud-pln-rate
"", CYSEC, sgd-hkd-rate
"", CYSEC, swiss-franc-czech-koruna-rate
"", CYSEC, swiss-franc-rand-rate
"", CYSEC, new-zealand-dollar-hong-kong-dollar-rate
"", CYSEC, swiss-franc-turkish-lira-rate
"", CYSEC, cad-nok-rate
"", CYSEC, euro-new-israeli-sheqel-rate
"", CYSEC, euro-romanian-leu-rate
"", CYSEC, norwegian-krone-turkish-lira-rate
"", CYSEC, us-dollar-israeli-new-shekel-rate
"", CYSEC, us-dollar-romanian-leu-rate
"", NBRB, eur-usd-rate
"", NBRB, usd-jpy-rate
"", NBRB, gbp-usd-rate
"", NBRB, aud-usd-rate
"", NBRB, gbp-jpy-rate
"", NBRB, usd-cad-rate
"", NBRB, eur-jpy-rate
"", NBRB, usd-chf-rate
"", NBRB, aud-jpy-rate
"", NBRB, euro-pound-rate
"", NBRB, eur-aud-rate
"", NBRB, cad-jpy-rate
"", NBRB, gbp-aud-rate
"", NBRB, nzd-usd-rate
"", NBRB, eur-cad-rate
"", NBRB, aud-cad-rate
"", NBRB, gbp-cad-rate
"", NBRB, eur-chf-rate
"", NBRB, aud-nzd-rate
"", NBRB, chf-jpy-rate
"", NBRB, nzd-jpy-rate
"", NBRB, gbp-chf-rate
"", NBRB, cad-chf-rate
"", NBRB, aud-chf-rate
"", NBRB, gbp-nzd-rate
"", NBRB, usd-mxn-rate
"", NBRB, euro-us-dollar-w-rate
"", NBRB, us-dollar-japanese-yen-w-rate
"", NBRB, eur-nzd-rate
"", NBRB, nzd-cad-rate
"", NBRB, nzd-chf-rate
"", NBRB, usd-cnh-rate
"", NBRB, us-dollar-hungarian-forint-rate
"", NBRB, eur-nok-rate
"", NBRB, usd-nok-rate
"", NBRB, usd-pln-rate
"", NBRB, us-dollar-south-african-rand-rate
"", NBRB, eur-huf-rate
"", NBRB, cnh-jpy-rate
"", NBRB, mexican-peso-yen-rate
"", NBRB, australian-dollar-turkish-lira-rate
"", NBRB, hong-kong-dollar-swedish-krona-rate
"", NBRB, eur-try-rate
"", NBRB, swiss-franc-hungarian-forint-rate
"", NBRB, danish-krone-swedish-krona-rate
"", NBRB, norwegian-krone-danish-krone-rate
"", NBRB, swedish-krona-yen-rate
"", NBRB, eur-sek-rate
"", NBRB, nok-jpy-rate
"", NBRB, euro-south-african-rand-rate
"", NBRB, usd-sek-rate
"", NBRB, usd-try-rate
"", NBRB, usd-sgd-rate
"", NBRB, sgd-jpy-rate
"", NBRB, eur-cnh-rate
"", NBRB, aud-nok-rate
"", NBRB, eur-hkd-rate
"", NBRB, australian-dollar-mexican-peso-rate
"", NBRB, canadian-dollar-swedish-krona-rate
"", NBRB, swiss-franc-singapore-dollar-rate
"", NBRB, zar-jpy-rate
"", NBRB, zloty-yen-rate
"", NBRB, try-jpy-rate
"", NBRB, zloty-swedish-krona-rate
"", NBRB, gbp-sek-rate
"", NBRB, nok-sek-rate
"", NBRB, swedish-krona-mexican-peso-rate
"", NBRB, nzd-sgd-rate
"", NBRB, aud-cnh-rate
"", NBRB, canadian-dollar-singapore-dollar-rate
"", NBRB, gbp-mxn-rate
"", NBRB, chinese-yuan-hong-kong-dollar-rate
"", NBRB, danish-krone-yen-rate
"", NBRB, eur-pln-rate
"", NBRB, swedish-krona-turkish-lira-rate
"", NBRB, swiss-franc-swedish-krona-rate
"", NBRB, swiss-franc-hong-kong-dollar-rate
"", NBRB, euro-czech-koruna-rate
"", NBRB, aud-sgd-rate
"", NBRB, eur-mxn-rate
"", NBRB, gbp-nok-rate
"", NBRB, swiss-franc-danish-krone-rate
"", NBRB, australian-dollar-hong-kong-dollar-rate
"", NBRB, australian-dollar-rand-rate
"", NBRB, canadian-dollar-chinese-yuan-rate
"", NBRB, canadian-dollar-hong-kong-dollar-rate
"", NBRB, swiss-franc-mexican-peso-rate
"", NBRB, zloty-turkish-lira-rate
"", NBRB, gbp-pln-rate
"", NBRB, usd-hkd-rate
"", NBRB, british-pound-hungarian-forint-rate
"", NBRB, pound-sterling-chinese-yuan-rate
"", NBRB, us-dollar-czech-koruna-rate
"", NBRB, new-zealand-dollar-swedish-krona-rate
"", NBRB, british-pound-danish-krone-rate
"", NBRB, us-dollar-danish-krone-rate
"", NBRB, canadian-dollar-mexican-peso-rate
"", NBRB, new-zealand-dollar-turkish-lira-rate
"", NBRB, gbp-sgd-rate
"", NBRB, eur-sgd-rate
"", NBRB, new-zealand-dollar-mexican-peso-rate
"", NBRB, gbp-try-rate
"", NBRB, gbp-hkd-rate
"", NBRB, hong-kong-dollar-turkish-lira-rate
"", NBRB, swiss-franc-chinese-yuan-rate
"", NBRB, canadian-dollar-turkish-lira-rate
"", NBRB, hong-kong-dollar-mexican-peso-rate
