"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 05 09:02:21 GMT 2023","Sun Feb 05 09:02:24 GMT 2023","2896","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [21] , ASIC, brent-crude-oil-futures-aug-2020-commodity",""
"passed","Sun Feb 05 08:54:11 GMT 2023","Sun Feb 05 08:54:16 GMT 2023","5207","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticShotPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Short position overnight fee [38] , ASIC, us-crude-oil-futures-november-2022-commodity",""
"passed","Sun Feb 05 09:00:39 GMT 2023","Sun Feb 05 09:00:41 GMT 2023","2904","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [43] , ASIC, us-sugar-futures-jul-22-commodity",""
"broken","Sun Feb 05 08:50:11 GMT 2023","Sun Feb 05 08:50:12 GMT 2023","923","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [30] , ASIC, orange-juice-futures-may-2022-commodity",""
"broken","Sun Feb 05 09:14:02 GMT 2023","Sun Feb 05 09:14:03 GMT 2023","746","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [31] , ASIC, robusta-coffee-futures-mar-2022-commodity",""
"broken","Sun Feb 05 09:24:13 GMT 2023","Sun Feb 05 09:24:13 GMT 2023","710","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [14] , ASIC, aluminum-spot-commodity",""
"passed","Sun Feb 05 08:53:55 GMT 2023","Sun Feb 05 08:54:00 GMT 2023","5592","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticShotPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Short position overnight fee [35] , ASIC, us-crude-oil-futures-august-2022-commodity",""
"broken","Sun Feb 05 08:57:46 GMT 2023","Sun Feb 05 08:57:54 GMT 2023","7891","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [11] , ASIC, carbon-emissions-futures-ecfz23-commodity",""
"broken","Sun Feb 05 09:18:06 GMT 2023","Sun Feb 05 09:18:06 GMT 2023","706","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [18] , ASIC, soybean-spot-commodity",""
"passed","Sun Feb 05 09:14:30 GMT 2023","Sun Feb 05 09:14:33 GMT 2023","2519","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [17] , ASIC, us-cocoa-cash-commodity",""
"broken","Sun Feb 05 08:50:26 GMT 2023","Sun Feb 05 08:50:26 GMT 2023","749","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [43] , ASIC, us-sugar-futures-jul-22-commodity",""
"failed","Sun Feb 05 09:15:07 GMT 2023","Sun Feb 05 09:15:09 GMT 2023","2363","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [35] , ASIC, us-crude-oil-futures-august-2022-commodity",""
"broken","Sun Feb 05 09:14:18 GMT 2023","Sun Feb 05 09:14:19 GMT 2023","796","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [2] , ASIC, us-crude-oil-price",""
"passed","Sun Feb 05 09:20:05 GMT 2023","Sun Feb 05 09:20:09 GMT 2023","4722","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [45] , ASIC, wheat-spot-commodity",""
"passed","Sun Feb 05 08:48:49 GMT 2023","Sun Feb 05 08:48:52 GMT 2023","2629","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [7] , ASIC, palladium-price",""
"passed","Sun Feb 05 09:19:18 GMT 2023","Sun Feb 05 09:19:23 GMT 2023","4686","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [35] , ASIC, us-crude-oil-futures-august-2022-commodity",""
"broken","Sun Feb 05 09:03:53 GMT 2023","Sun Feb 05 09:03:54 GMT 2023","753","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [46] , FCA, us-natural-gas-price",""
"broken","Sun Feb 05 08:56:30 GMT 2023","Sun Feb 05 08:56:31 GMT 2023","745","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [24] , ASIC, brent-crude-oil-futures-jul-2022-commodity",""
"passed","Sun Feb 05 08:53:49 GMT 2023","Sun Feb 05 08:53:55 GMT 2023","5941","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticShotPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Short position overnight fee [34] , ASIC, us-crude-oil-futures-apr-2022-commodity",""
"broken","Sun Feb 05 09:01:36 GMT 2023","Sun Feb 05 09:01:37 GMT 2023","759","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [49] , FCA, brent-crude-oil-price",""
"passed","Sun Feb 05 09:21:04 GMT 2023","Sun Feb 05 09:21:07 GMT 2023","2949","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [10] , ASIC, platinum-price",""
"broken","Sun Feb 05 09:15:04 GMT 2023","Sun Feb 05 09:15:05 GMT 2023","726","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [32] , ASIC, uk-cocoa-futures-may-2022-commodity",""
"passed","Sun Feb 05 09:00:16 GMT 2023","Sun Feb 05 09:00:19 GMT 2023","3298","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [37] , ASIC, us-crude-oil-futures-may-2022-commodity",""
"passed","Sun Feb 05 09:21:16 GMT 2023","Sun Feb 05 09:21:19 GMT 2023","3117","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [14] , ASIC, aluminum-spot-commodity",""
"passed","Sun Feb 05 08:49:38 GMT 2023","Sun Feb 05 08:49:40 GMT 2023","2515","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [26] , ASIC, ice-brent-crude-oil-futures-coilv21-commodity",""
"broken","Sun Feb 05 08:56:42 GMT 2023","Sun Feb 05 08:56:42 GMT 2023","727","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [39] , ASIC, crude-oil-futures-clv21-commodity",""
"broken","Sun Feb 05 09:24:09 GMT 2023","Sun Feb 05 09:24:10 GMT 2023","1268","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [10] , ASIC, platinum-price",""
