"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 04 06:49:34 GMT 2023","Sat Feb 04 06:49:38 GMT 2023","3571","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [1] , ASIC, us-natural-gas-price",""
"passed","Sat Feb 04 04:47:12 GMT 2023","Sat Feb 04 04:47:16 GMT 2023","3223","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPage_ClickOnBtnAddToFavourite_SignUpFormWasAppear","Check 'Add to favourite' button on title block [22] , ASIC, ice-brent-crude-oil-futures-coilq21-commodity",""
"broken","Sat Feb 04 04:43:45 GMT 2023","Sat Feb 04 04:43:45 GMT 2023","404","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [1] , ASIC, us-natural-gas-price",""
"broken","Sat Feb 04 04:43:11 GMT 2023","Sat Feb 04 04:43:12 GMT 2023","943","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [223] , CCSTV, us-sugar-futures-jul-22-commodity",""
"passed","Sat Feb 04 06:49:09 GMT 2023","Sat Feb 04 06:49:12 GMT 2023","3381","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [308] , SCB, us-crude-oil-futures-november-2022-commodity",""
"passed","Sat Feb 04 03:38:17 GMT 2023","Sat Feb 04 03:38:19 GMT 2023","2335","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [242] , FSA, us-cocoa-cash-commodity",""
"passed","Sat Feb 04 04:20:37 GMT 2023","Sat Feb 04 04:20:41 GMT 2023","3503","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [63] , FCA, soybean-spot-commodity",""
"broken","Sat Feb 04 04:44:19 GMT 2023","Sat Feb 04 04:44:19 GMT 2023","333","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [97] , CYSEC, palladium-price",""
"passed","Sat Feb 04 05:42:11 GMT 2023","Sat Feb 04 05:42:26 GMT 2023","14987","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWidgetPromoMarket_clickOnBtnTradeNow_SignUpFormWasAppear","Checking buttons 'Trade Now' (4 items) on module widget promo market [134] , CYSEC, us-sugar-futures-futures-may-2022-commodity",""
"passed","Sat Feb 04 08:41:17 GMT 2023","Sat Feb 04 08:41:20 GMT 2023","3126","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [285] , SCB, orange-juice-spot-commodity",""
"broken","Sat Feb 04 04:44:25 GMT 2023","Sat Feb 04 04:44:26 GMT 2023","908","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [116] , CYSEC, ice-brent-crude-oil-futures-coilv21-commodity",""
"passed","Sat Feb 04 07:14:54 GMT 2023","Sat Feb 04 07:14:57 GMT 2023","3041","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [311] , SCB, us-natural-gas-futures-ngx22-commodity",""
"passed","Sat Feb 04 08:31:17 GMT 2023","Sat Feb 04 08:31:20 GMT 2023","3150","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [157] , NBRB, ice-brent-crude-oil-futures-coilq21-commodity",""
"broken","Sat Feb 04 04:43:27 GMT 2023","Sat Feb 04 04:43:28 GMT 2023","356","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [268] , FSA, us-sugar-futures-jul-22-commodity",""
"broken","Sat Feb 04 04:44:48 GMT 2023","Sat Feb 04 04:44:49 GMT 2023","347","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [181] , CCSTV, us-natural-gas-price",""
"passed","Sat Feb 04 08:32:38 GMT 2023","Sat Feb 04 08:32:41 GMT 2023","2958","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [175] , NBRB, us-natural-gas-futures-ngv22-commodity",""
"passed","Sat Feb 04 06:55:48 GMT 2023","Sat Feb 04 06:55:51 GMT 2023","3008","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [72] , FCA, carbon-emissions-futures-ecfz21-commodity",""
"broken","Sat Feb 04 08:19:53 GMT 2023","Sat Feb 04 08:19:54 GMT 2023","368","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [286] , SCB, lead-commodity",""
"passed","Sat Feb 04 05:17:38 GMT 2023","Sat Feb 04 05:17:50 GMT 2023","11812","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleWidgetPromoMarket_clickOnBtnTradeNow_SignUpFormWasAppear","Checking buttons 'Trade Now' (4 items) on module widget promo market [27] , ASIC, carbon-emissions-futures-ecfz21-commodity",""
"passed","Sat Feb 04 04:29:17 GMT 2023","Sat Feb 04 04:29:21 GMT 2023","3683","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [173] , NBRB, us-crude-oil-futures-november-2022-commodity",""
"passed","Sat Feb 04 07:25:44 GMT 2023","Sat Feb 04 07:25:47 GMT 2023","2874","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticWidget_ClickOnBtnBuy_SignUpFormWasAppear","Check 'Buy' button on trading instrument widget [121] , CYSEC, robusta-coffee-futures-mar-2022-commodity",""
"broken","Sat Feb 04 04:44:58 GMT 2023","Sat Feb 04 04:44:58 GMT 2023","351","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [209] , CCSTV, orange-juice-futures-july-2022-commodity",""
"passed","Sat Feb 04 04:47:22 GMT 2023","Sat Feb 04 04:47:26 GMT 2023","4078","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.commodities.CheckRegBtnTicCommoditiesTest","ticPage_ClickOnBtnAddToFavourite_SignUpFormWasAppear","Check 'Add to favourite' button on title block [25] , ASIC, brent-crude-oil-futures-jun-2022-commodity",""
